A-ga-fya
Xe-nia
Xy-lia
Ye-ka-te-ri-na
Ye-le-na
Yev-ge-ni-ya
Zan-dra
Ze-na
Ze-nai-da
Ze-no-bia
Zi-na
Zi-n-via
Zo-e
Zo-na
Zo-sia
Zo-wie
Zo-ya
Zso-fia
Zso-fi-ka
